2023-12-11 13:25:46 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Cannot read properties of undefined (reading 'length')
2023-12-11 13:26:15 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Cannot read properties of undefined (reading 'length')
2023-12-11 13:26:17 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Cannot read properties of undefined (reading 'length')
2023-12-11 13:26:19 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Cannot read properties of undefined (reading 'length')
2023-12-11 13:26:20 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Cannot read properties of undefined (reading 'length')
2023-12-11 13:26:21 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Cannot read properties of undefined (reading 'length')
2023-12-11 13:26:52 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Cannot read properties of undefined (reading 'length')
2023-12-11 13:27:04 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:27:36 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:27:47 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:28:00 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:28:39 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:29:47 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:29:48 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:30:33 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:30:54 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:30:56 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:31:10 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:31:11 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:31:56 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:31:57 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:32:29 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:32:31 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:38:13 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:38:15 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:38:33 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:38:34 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:44:08 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:44:09 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:44:10 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:44:11 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:44:12 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:49:57 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:52:17 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 13:52:25 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:13:36 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:13:38 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:13:40 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:13:41 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:14:40 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:14:44 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:14:45 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:14:46 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:18:00 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:18:01 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 15:18:02 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:22:30 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:22:36 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:23:12 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:24:04 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:27:07 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:27:09 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:30:32 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:31:29 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:41:05 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:41:16 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:41:20 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:42:11 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:42:26 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:42:32 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:42:40 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 16:43:58 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:15:10 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:15:18 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:15:29 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:15:34 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:16:00 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:17:18 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:17:22 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:17:33 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:19:01 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:19:15 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:19:16 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:19:19 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:19:22 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:22:04 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:22:06 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:27:27 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:27:28 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:27:58 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:28:13 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 17:28:14 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 18:52:00 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 18:52:17 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 18:55:57 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 18:55:58 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 18:59:54 error: [GET] /api/v1/alumni/directory >> StatusCode:: 404, Message:: Alumni not  found
2023-12-11 18:59:57 error: [GET] /api/v1/alumni/directory >> StatusCode:: 404, Message:: Alumni not  found
2023-12-11 19:09:32 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 19:09:36 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 19:10:18 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 19:13:16 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-11 19:13:17 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
