2023-12-12 12:53:43 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:01:46 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:02:35 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:02:37 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:02:38 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:02:46 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:02:47 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:03:50 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:04:40 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:04:45 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:04:46 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:08:28 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:08:37 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:10:48 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:10:50 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:10:56 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:10:59 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:13:30 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:14:17 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:14:59 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:15:00 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:17:16 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:17:17 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:17:18 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:17:19 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:17:32 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:17:34 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:17:35 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:20:36 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:20:37 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:20:42 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:38:35 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:38:44 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 13:38:49 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 14:22:16 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 14:22:19 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 14:23:18 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 14:24:14 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 14:24:16 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 14:31:07 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 18:17:22 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 18:17:24 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 18:17:36 error: [GET] /api/v1/profiles/user >> StatusCode:: 500, Message:: Error fetching profile
2023-12-12 18:17:44 error: [POST] /api/v1/profiles >> StatusCode:: 500, Message:: Unable to create profile
2023-12-12 18:17:48 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 18:20:16 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 18:30:06 error: [POST] /api/v1/profiles/experience >> StatusCode:: 500, Message:: Error creating experience record
2023-12-12 18:30:09 error: [POST] /api/v1/profiles/experience >> StatusCode:: 500, Message:: Error creating experience record
2023-12-12 18:30:10 error: [POST] /api/v1/profiles/experience >> StatusCode:: 500, Message:: Error creating experience record
2023-12-12 18:30:11 error: [POST] /api/v1/profiles/experience >> StatusCode:: 500, Message:: Error creating experience record
2023-12-12 18:40:29 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:00:45 error: [DELETE] /api/v1/profiles/address/2 >> StatusCode:: 500, Message:: Error deleting address
2023-12-12 19:04:11 error: [DELETE] /api/v1/profiles/address/3 >> StatusCode:: 500, Message:: Error deleting address
2023-12-12 19:09:36 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:09:38 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:16:31 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:17:34 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:19:28 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:20:04 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:27:10 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
2023-12-12 19:27:30 error: [GET] /api/v1/alumni/directory >> StatusCode:: 500, Message:: Error fething profile
